标题,来源,时间,问题,回答
咨询,sd*** (山东),2012-06-13 15:04,老师您好，山东理科考生估分600左右，想报考贵校的理科英语专业，是否能被录取？请问贵校在山东近三年的理科英语专业录取的人数以及最高分和最低分，谢谢。,请到辽宁大学本科招生网上查询：http://zs.lnu.edu.cn
专业顺序问题,li*** (辽宁),2012-06-13 11:22,请问老师，我报的第一专业如果没被录取，那会顺序录取第二专业么？我所报名的第二个专业志愿是在其他考生第一专业志愿没录满的情况下才可能被考虑的么？,我校普通类专业录取原则是“分数优先，遵循志愿”的原则。
二表录取,qt*** (黑龙江),2012-06-12 10:45,请问贵校在黑龙江招的二表合作办学与一表招生的区别是什么。学历和学位都有哪些区别？,在黑龙江二本招生的是中外合作办学专业。毕业证和学位证都是辽宁大学颁发的。中外合作办学专业要求英语分不低于90分。
老师最好,li*** (辽宁),2012-06-12 10:13,教育部网站公示：辽宁大学亚澳商学院：颁发证书中方：普通高等学校本科毕业证书、学士学位证书。外方：无辽宁大学新华国际商学院：颁发证书中方：普通高等教育本科毕业证书、学士学位证书。外方：无问题：贵校中外合作，2-3年级在国外学习，是否颁发国家承认的外方学士学位证书。,如果学生出国学习是可以获得外方的学位证。
转专业问题,lm*** (辽宁),2012-06-12 09:26,您好！我是辽宁考生，我在贵校的招生简章上看到文科类和理科类可转换的专业名称，那我是理科学生假如我报考了英语，会计，那是不是将来会在贵校列举的文科范围内转专业，还是按照入学前我是理科类的转专业，说的有点绕口，请您见谅，盼您的答复。,是在学校列出的文科类范围内转换专业。
辽大外院考主校问题,li***zy (辽宁),2012-06-11 16:10,请问辽大外院学生有没有机会进入主校学习？有什么条件？,辽宁大学的外国语学院（沈阳蒲河校区）在辽宁省是一批A段录取，外国语学院（辽阳武圣校区）在辽宁省二批录取。在辽阳校区就读的学生四年都在辽阳，不进入沈阳校区学习。
高考录取,bl***1 (湖南),2012-06-11 16:02,请问贵校在高考后是否还有与高校录取有关的测试？（比如说中南大学的综合素质测评）,在湖南省不涉及额外的测试。
今年贵校在甘肃计划招生多少？理科543分报贵校把握大吗？还有,lu***0000 (甘肃),2008-06-23 14:00,今年贵校在甘肃计划招生多少？理科543分报贵校把握大吗？还有，贵校的重点专业是撒？谢谢,学校设有世界经济、国民经济学和金融学3个国家重点学科，32个省重点学科；设有国家经济学基础人才培养基地。
谢谢老师,xu*** (甘肃),2008-06-23 13:50,老师好，我是甘肃的一名理科考生，我非常想报你们学校，我考了593。甘肃的分数线可能在560左右，我可能超过重点线35分左右，如果我第一志愿报贵学校的话，能被录取吗？希望大吗？还有就是我想知道你们学校在甘肃招生办的电话，望老师能认真回答我的问题，谢谢老师，,"各位考生，近来接到许多电话和网上留言，询问录取分数或是否能被录取的问题，对此需要说明的是,录取分数线是由报考考生的多少和报考考生的分数决定的，在录取前无法知晓，学校本着对考生负责的态度，亦不能随意预测，故请广大考生谅解。"
您好,zh***n (甘肃),2008-06-23 11:02,我是甘肃一名理科考生，分数可能高出一本20分左右，报考贵校工商管理的可能性怎样？,"各位考生，近来接到许多电话和网上留言，询问录取分数或是否能被录取的问题，对此需要说明的是,录取分数线是由报考考生的多少和报考考生的分数决定的，在录取前无法知晓，学校本着对考生负责的态度，亦不能随意预测，故请广大考生谅解。"
你好,ru***g (河北),2008-06-23 10:52,请问贵校的特色专业有哪些?,学校设有世界经济、国民经济学和金融学3个国家重点学科，32个省重点学科；设有国家经济学基础人才培养基地。
本校有专业分级差吗？,sj***340 (辽宁),2008-06-15 14:57,本校有专业分级差吗？,无专业级差
专业咨询,li*** (辽宁),2008-06-15 13:45,文科问题1，二本是否全在辽阳上学2，二本的英语专业哪个好？3，估计二本上线多少分能录上,二批本科分两个校区：外国语学院（辽阳学区）外语类专业在辽阳武圣校区；亚澳商学院各专业在沈阳蒲河校区。
咨询,gt*** (黑龙江),2008-06-15 11:35,请问贵校招二志愿考生么？分数怎么样？,对于未实行平行志愿的地区：如第一志愿未满，继续录取第二、第三等志愿考生。
河南考生问,ca***n (河南),2008-06-14 15:07,您好，请问文科被录取后是否可以改专业?若可以，有什麽要求?谢谢您,录取后原则上不允许调整专业
河南文科,ca***n (河南),2008-06-14 15:03,您好，我是河南文科考生，请问近年贵校在河南招生最高分是多少?谢谢,请到zs.lnu.edu.cn查询
第二志愿,w1***9 (河南),2008-06-14 11:45,贵校是否收二志愿？在河南的分数多少？谢谢！,"第一志愿未满情况下招收二志愿.各位考生，近来接到许多电话和网上留言，询问录取分数或是否能被录取的问题，对此需要说明的是,录取分数线是由报考考生的多少和报考考生的分数决定的，在录取前无法知晓，学校本着对考生负责的态度，亦不能随意预测，故请广大考生谅解"
咨询,ch***909 (山东),2008-06-14 11:45,我是山东理科的考生，估计成绩在570到580左右，我想到贵校学习经济类学科，录取的可能性有多大?,"各位考生，近来接到许多电话和网上留言，询问录取分数或是否能被录取的问题，对此需要说明的是,录取分数线是由报考考生的多少和报考考生的分数决定的，在录取前无法知晓，学校本着对考生负责的态度，亦不能随意预测，故请广大考生谅解。"
咨询,ta***9 (天津),2008-06-14 11:07,我是天津文科考生估分540第一志愿报考贵校有把握吗谢谢老师,请到zs.lnu.edu.cn查询近年录取情况
是否退档?,su***3 (辽宁),2008-06-14 11:01,如果贵校以105%提档，那剩下的5%是否会被退档,增加计划由教育部和省教育厅审批决定，在计划一定的情况下，一般不可能超额录取。
报考贵校二志愿有限制嘛？,ma***u (河南),2008-06-14 10:37,你好！我是河南考生，请问报考贵校二志愿有限制嘛？二志愿录取的可能性大嘛？,第一志愿未满情况下招收二志愿.
二本外语在辽阳学区,mn*** (江苏),2008-06-14 10:30,是和国外联办毕业证是辽宁大学一样吗？我估510分不知应怎么报贵校报那个批次想学外语,"我校二本有两个学院,一个是与国外合作办学的亚澳商学院,一个是外语学院的外语专业在辽阳学区办学,两个学院都发辽宁大学毕业证书.去年我校一本文科最低分５４２，二本文科４９６"
关于专业,21*** (辽宁),2012-06-11 16:01,560分能上汉语言文学吗,辽宁省去年汉语言文学最低分554分。
关于调剂问题,fl*** (辽宁),2012-06-11 14:52,如果分数高过了提档分被投档所填专业分数不够没能录取但是服从调剂有多大的几率会被调剂到其他专业而不被退档,从往年录取情况来看，没有退过服从调剂考生。
报考,hx*** (辽宁),2012-06-11 13:20,我是辽宁文科生，估分在530左右，能进入贵学校吗,请在辽宁大学本科招生网上吗，查看一下往年录取分数。
专业分配咨询,gx*** (山西),2012-05-11 10:13,老师您好：我省能报贵校的6个专业志愿，我想知道如果孩子被贵校录取后，贵校如何安排录取学生的专业志愿。谢谢。,按照“分数优先，遵循志愿”的原则。
分数级差问题,20***e (北京),2012-05-10 13:47,请问贵校有分数级差吗？另外，学生公寓几个人一间？什么供暖方式？,录取没有级差。4-6人一间，学校接入市政热网。
258,li***2008 (辽宁),2011-05-12 16:35,500分二本学法语在辽阳吗,法语专业不在二本招生。
专业代码,xu***iazhang1 (山东),2011-05-12 16:28,亚澳商学院和新华国际商学院的专业代码是单独设置的吗？服从专业调剂时，会不会从普通专业被调剂到商学院的专业中？,今年合作办学专业不在山东招生。
专业,lu***o (辽宁),2011-05-12 10:03,贵校在校生转专业怎样规定的/?,关于辽宁大学试行通识教育的特别说明http://zs.lnu.edu.cn/webs/zsxx_zszc_nei.asp?id=2642010级本科生重新选择（转）专业实施办法http://jwc.lnu.edu.cn/jwc/web/newsshow.aspx?newsid=1250
专业咨询,gx*** (山西),2011-05-12 09:29,老师您好：我是山西省的理科考生如果被贵校录取但不是理想的专业，能否转专业。谢谢。,关于辽宁大学试行通识教育的特别说明http://zs.lnu.edu.cn/webs/zsxx_zszc_nei.asp?id=2642010级本科生重新选择（转）专业实施办法http://jwc.lnu.edu.cn/jwc/web/newsshow.aspx?newsid=1250
咨询,gx*** (山西),2011-05-12 09:29,老师您好：山西省的理科考生高出一本线多少分或省排名在什么位置左右可报考本校。谢谢。,近期会在辽宁大学本科招生网zs.lnu.edu.cn公布今年的招生计划和去年的录取分数以供参考。
报考,63*** (河南),2011-05-11 15:06,请问贵校2010年在河南省招收文科生的录取分数线是多少？,近期会在辽宁大学本科招生网zs.lnu.edu.cn公布今年的招生计划和去年的录取分数以供参考。
面试,ln*** (辽宁),2011-05-11 13:04,请问：报考贵校（一本B）今年还面试吗？,报考中外合作办学专业的辽宁考生须于6月11-15日期间到辽宁大学蒲河校区面试。
咨询,we*** (甘肃),2010-05-12 13:48,请问贵校近几年在甘肃的一，二批录取分数线是多少？谢谢！,近期登录zs.lnu.edu.cn查询
关于二志愿,sd*** (山东),2010-05-12 10:30,老师您好！贵校今年招收理科一批二志愿考生吗？谢谢,在未实行平行志愿录取方式的地区，按志愿顺序录取，如第一志愿未录满，继续录取第二志愿考生录满为止。
贵校是否将平行志愿的第二或第三顺序与第一志愿同等对待?,nj*** (四川),2010-05-11 13:01,贵校是否将平行志愿的第二或第三顺序与第一志愿同等对待?,平行志愿中各学校志愿等同，分数优先
河南文科生,ga*** (河南),2013-06-26 15:52,老师好。请问贵校日语专业是零起点吗？我是河南文科小语种考生。高考超出一本线29分，日语145，能报考贵校日语专业吗？,日语零起点教学。
关于加分问题,bu***2 (江苏),2013-06-26 09:57,老师我想请问一下。我是江苏考生选修科目历史B政治A+，请问能加分么，如果可以能加几分呢，谢谢。,学校对级别没有加分政策。
河北-通讯工程专业招生人数,wx*** (河北),2013-06-25 10:12,您好，河北考生(男生)如果想报通信工程专业，看河北省出的招生计划人数是一人，而查贵校网站上是5人，请给于解答，谢谢!,通信工程专业，普通类计划1人，国防生计划5人。
黑龙江二批,xi***i (黑龙江),2013-06-24 10:56,黑龙江二批招生，学费23000的，是中外合作办学吗？如是中外合作办学用不用出国？毕业证和一批、二批的有差别吗？可不可转专业？,“2+2”的教学模式，后2年可出国，也可不出国，根据自己的实际情况来定。毕业证都是辽宁大学的毕业证学位证，没有差别。中外合作办学专业不能转专业。
专业级差,mm*** (黑龙江),2013-06-19 13:31,贵校是否有专业差？,普通类专业录取，分数优先，无专业级差。
招生老师好。请问2013年1本A段招生的英语专业学生在那个校,70*** (辽宁),2013-06-19 13:12,招生老师好。请问2013年1本A段招生的英语专业学生在那个校区就读？谢谢！,沈阳蒲河校区
调剂,po*** (黑龙江),2013-06-18 10:43,投档服从调剂是否退档,从理论上讲是有退档的风险。我校投档比例控制在110%以内，在往年录取中，没有退过服从调剂的考生。
关于录取规则,ly*** (四川),2013-06-14 14:06,我是四川考生，请问辽宁大学今年的四川招生计划还未公布吗，国际经济与贸易专业在川录取分数线是多少，如果填报专业调剂，专业是按照什么原则调剂呢？谢谢！,请咨询当地招办或是高中班主任查询招生计划公布渠道。
志愿咨询,lx***4 (辽宁),2013-06-14 13:27,辽宁大学招生办的老师您好：我是2013届辽宁应届毕业生，请问贵校是否有专业级差？若有，专业级差会控制在几分以内？我的估分情况为570分左右，是否有望考取贵校？期待您的解答，谢谢。,我校没有专业级差。我校普通类的录取原则是“分数优先，遵循志愿”的原则。关于具体分数是否能被录取的问题，考生应考虑一下自己的估分与当年控制线的分差。我校2012年在辽宁省一批A段文科最低分高省控制分数线18分，一批A段理工最低分高省控制分数线41分。
关于贵校金融系,zn*** (辽宁),2013-06-14 10:02,我查看了三年贵校的金融学这个专业的分数，但是发现有两个分数，而且相差很多。不知道这是为什么呢，两个金融学有区别吗？我看到今年的招生计划中有两个金融学，一个国际金融，一个证券方向，请问哪个分数线高呢？今年辽宁文科金融的录取分数线大概会在多少？估分590能报考贵校什么专业呢？,金融学（国际金融方向）、金融学（证券管理方向）这两个专业方向在辽宁省是一批A段本科录取，教学在经济学院。金融学（中外合作办学类）是在辽宁省是二批本科录取，教学在亚澳商学院。
艺术生咨询,13***2 (辽宁),2013-06-13 09:07,老师您好，请问贵校播音与主持艺术专业文化课成绩含加分是指文化课成绩加上专业课成绩么？,不是，文化课成绩含加分指含政策加分。
问,da***ngshiyou197 (辽宁),2013-05-10 16:22,老师在辽宁一本B段的专业都有得什么？都是中外合作的专业吗？,专业计划尚未审批结束，根据往年情况，拟招的都是中外合作办学专业。
是否招收3本？,sh***iang (黑龙江),2013-05-10 15:00,请问贵校招三本学生么？我家孩子在黑龙江上学，文科生，二模答了370分。能过贵校的分数线么？,没有三批本科招生
今年辽宁的招生计划,yq*** (辽宁),2013-05-09 15:37,老师你好，请问今年在辽宁省计划招收多少理科学生？适合女生读的专业有哪些？调档比例是多少？一旦一本没考上，二本有招生计划吗？如果有，是哪些专业？在辽宁招生数是多少？,今年招生专业计划尚未申请结束，请耐心等待，以所在省招考办公布为准。
咨询,ma***oyu (江苏),2013-05-09 13:10,请问一下江苏理科考生，想报考贵校的话一般高出一本线多少分可以录取？或者全省排名多少名以内可以录取？另外色盲能报考贵校哪些专业？,学校会在高考报考前将往年录取分数在zs.lnu.edu.cn网站公布，请自行参考。身体健康状况要求按照教育部、卫生部、中国残疾人联合会印发的《普通高等学校招生体检工作指导意见》执行。
山东考生,sd*** (山东),2014-06-13 15:12,山东理科女，请问老师贵校食宿条件怎么样，几人一个宿舍，宿舍有卫生间，洗澡间和洗衣机吗？,您好，我校为4--6人一个宿舍，宿舍无卫生间、洗澡间。
辽宁文科生,96*** (辽宁),2014-06-13 15:01,老师您好，我的估分在580左右，能否报考贵校经济学或英语专业，谢谢老师。,"您好，此类问题很难回答，录取分数由考生的最终报考情况决定，请登陆zs.lnu.edu.cn,参考了解一下往年的录取分数。"
投档问题,fa***yue (辽宁),2014-06-13 13:05,老师你好，我是辽宁文科考生，我想咨询一个问题，假如我压线投档进入辽宁大学，进档人数超过计划招生人数，如专业服从调剂，还退档吗？,您好，我校的普通类提档比例一般控制在110%，实际录取过程中尽量降低投档比例，为102-103%左右，以尽量满足除专业志愿未满足且不服从专业调剂的考生外，能被录取。
辽宁考生,sh***ongtong (辽宁),2014-06-13 10:37,请问贵校一本a段的名牌专业有哪些？就业前景如何？,"辽宁大学优势学科请登陆www.lnu.edu.cn,查看辽宁大学学校简介。"
咨询,as*** (辽宁),2014-06-13 09:13,请问贵校的一本和二本学的会计有什么区别一本有没有二本的专业,您好，我校的一本和二本的会计学的区别在于：二本的会计学（国际会计方向）是中外合作办学专业，详情见辽宁大学本科招生网站中的专业介绍。
河北考生,hb*** (河北),2014-06-12 16:52,老师您好，我是河北考生，请问在河北高考多少分可以报考贵校的会计专业？谢谢。,"此类问题很难回答，录取分数由考生的最终报考情况决定，请登陆zs.lnu.edu.cn,参考了解一下往年的录取分数。"
请问老师,li***g (山东),2014-06-12 16:00,2013年贵校在山东省理科录取的最高分、最低分、平均分各是多少？,您好，2013年我校在山东省理科录取的相关分数线，可在辽宁大学本科招生网查询。
预科生,sj*** (云南),2014-06-12 14:19,请问贵校今年在云南有预科生名额吗？文科、理科分别是几个？预科录取一般是在非预科录取分的几分左右？,没有预科生计划
对口援疆,ga***14 (新疆),2014-06-12 13:06,新疆今年扶贫对口援疆单独一栏填写，请问它是和一本一起录取还是在一本之前录取,可以向自己所在的高中老师或当地招办了解一下，各省批次安排我们尚未收到相应文件。
招生,as*** (辽宁),2014-06-12 10:45,请问贵校的一本B只有国际会计专业吗一本B一本A毕业证一样吗,"招生计划请登陆zs.lnu.edu.cn,辽宁大学各批次录取学生毕业证书为统一格式。"
广播电视编导专业 辽宁考生,ju***6 (辽宁),2014-06-12 09:45,请问广播电视编导专业辽宁省考生是过二本线后完全按专业成绩的排名录取吗?学校官网上公布的往年的录取分数线是不是就是省统考的专业课成绩?有语文或是英语的小分要求吗?谢谢!,录取规则和专业要求，请登陆zs.lnu.edu.cn查询，我校广播电视编导专业在辽宁省招生使用省统考广播电视编导专业成绩。
关于中外合作办学,ya***4 (辽宁),2014-06-11 15:06,老师好！贵校中外合作办学都有哪些专业？在哪个批次招生？是否对英语口试成绩有要求？谢谢！,[您好，我校在辽宁省的中外合作办学专业有两种：一本B段的新华国际商学院，专业包括会计学、市场营销、工商管理；二本的亚澳商学院，专业包括国际商务、会计学（国际会计方向）、金融学。2014年我校对中外合作办学专业报考要求的说明如下：我校中外合作办学专业只录取有专业志愿考生，新华国际商学院会计学、工商管理、市场营销专业要求英语不低于英语满分的70%；亚澳商学院会计学（国际会计方向）、金融学、国际商务专业要求英语不低于英语满分的60%，会计学（国际会计方向）专业要求数学不低于数学满分的60%。我校2014年中外合作办学专业不再进行英语测试。
请问辽宁大学的会计是二本吗？颁发的一本证和二本证一样吗,yk*** (辽宁),2014-06-10 14:47,请问辽宁大学的会计是二本吗？颁发的一本证和二本证一样吗,专业批次安排，请参看学校网站。辽宁的大学各批次毕业证书为统一格式。
本省理科考生,al***cn (辽宁),2014-05-09 15:37,老师您好！请问报考贵校各专业有级差吗？复习生有要求么？视力有要求吗？招生简章在哪能看到？什么时候出来？谢谢！,您好，我校无专业级差；对复习生无要求；有些专业对视力有要求，如化学类专业、生物技术、环境科学、食品科学与工程等等；我校的招生简章正在整合中，请近期关注辽宁大学本科招生网。
辽宁理科考生,al***cn (辽宁),2014-05-09 15:26,老师好！请问贵校提前录取的“通信工程”和“电子科学与技术”专业有性别要求吗？复习生有说法吗？视力等身体条件有特殊要求吗？谢谢！,国防生要求男生，其他类别考生没有性别要求。如填报国防生，请详细了解国防生相应年龄、身体要求。
辽宁大学分校,li***6 (辽宁),2010-05-11 12:12,辽宁大学有朝阳分校吗？是一本还是二本，近年的文科录取线是多少,辽宁大学无朝阳分校。现有三个校区：沈阳崇山校区、沈阳蒲河校区、辽阳武圣校区。
报考法语专业,li*** (云南),2010-05-10 16:42,我是云南的考生，目前的平均成绩在一本线超10分左右，想报考贵校的法语系，不知道具体有些什么要求？可以被录取吗？,无特殊要求
咨询,wa***ngxyz (辽宁),2010-05-10 14:54,老师好！我有几个疑问想请教一下。1.贵校专业录取时是分数优先还是志愿优先？2.有专业级差吗？3.如有专业级差，级差是多少？4.有单科成绩要求吗？5.专业录取时是按投档分还是按实际考分？6.如果分数相同怎么录取？谢谢！,[院校志愿录取原则：（1）学校志愿录取按相关省市要求执行;（2）艺术类本科专业按“志愿清”原则录取，即专业志愿优先；其他本科专业按“分数清”原则录取，即“分数优先，遵循志愿”：就是将考生按高考文化课成绩从高到低逐分排序，按序逐个检索和满足考生所填报的系列志愿，第一志愿额满，逐次检索其第二、第三志愿；（3）报考同专业高考文化课成绩并列考生，录取顺序为：首先，享有省招考委认定具备加分者优先；其次，专业志愿靠前者优先；再次，具体科目分数高者优先，科目优先顺序为：①文、史、哲科类专业排序为语文、外语、数学；②理、工科类专业排序为数学、外语、语文，③经济、管理学科类专业排序为数学、外语、语文；④外语类专业排序为外语、语文、数学；⑤中外合作办学类专业排序为外语、数学、语文；
招生计划,bm*** (天津),2010-05-10 13:38,请问你校文科在天津的招生计划，各专业各多少个名额？在几本招生？谢谢!,计划正在核对过程中。在天津市一批B段。
国防生,wu*** (辽宁),2010-05-10 13:33,请问今年在沈阳招多少国防生？是否招文科、女生？什么专业？录取分数大约多少？,近年我校国防生为60人。只招理工类、男生，外语语种为英语的考生。辽宁省国防生计划为通信工程专业5人。
金融学,ly*** (辽宁),2010-05-10 10:47,请问贵校今年金融学一本是什么方向的，辽宁理科招几名，530分能考上吗,我校经济学院有金融学（国际金融方向）、金融学（证券管理方向）2个专业，在辽宁省为一批A段招生；亚澳商学院有金融学专业，在辽宁省为二批招生。
有两个高考问题,zh***u (北京),2010-05-10 10:45,1.辽大在北京是否招二志愿，往年比例有多少?一般在二批线多少分二志愿有希望?2.今年计划都为中外合作办学，三个专业能具体介绍一下吗?譬如为几加几方式，外方学校在当地排名如何?,2009年在北京招收二志愿了。工商管理（国际工商管理方向）为新华国际商学院专业；金融学、国际经济与贸易（国际营销与商务方向）、会计学（国际会计方向）为亚澳商学院专业。这些专业的介绍可以到新华国际商学院http://www.lnuswibs.com/、亚澳商学院http://www.aabclnu.com/网站查看。
一、二本毕业证书有何区别,27*** (辽宁),2010-05-10 10:35,一本、二本毕业证书有何区别，就业时有区别吗，招工部门能看出是一本还是二本毕业的吗？,录取时只有录取批次的区别。毕业证、学位证没有区别。
专业报考,qi*** (河南),2010-05-10 09:47,老师，您好，请问，理科考生如果眼睛色弱，可以报考贵校的哪几个专业而不受限制？麻烦老师详细回答一下可报的专业名称，万分感谢。,有些专业不宜报考。比如化学、应用化学、环境科学、食品科学与工程等等需要有实验室操作的专业
美术生,my*** (辽宁),2009-06-15 14:19,我是辽宁美术生美术成绩214分文化课估了280-310分不知报考你校有希望没有？,"广告学（广告设计）、广告学（视觉传播）文化课须达到省本线的70%,然后按专业成绩录取，2008年上述两专业文化课最低329分，专业成绩最低312分（2008年满分400分）"
急,ji*** (辽宁),2009-06-15 10:24,辽宁考生，457能上贵校吗？,辽宁2008年二批本科理科最低450分，文科470分。今年不好估计。
专升本,dw*** (辽宁),2009-06-15 09:56,专科广播电视技术可否专升本？,本校无此专升本专业，且该专业今年停招。
广播电视技术,dw*** (辽宁),2009-06-15 09:53,贵校今年是否还招收专科生广播电视技术学生？,不招。
